Report Year,Project ID,Project Title,Funding Type,Funding Amount,WRRI Science Priority,Focus Category 1,Focus Category 2,Focus Category 3,Project PIs,PI Affiliated Organization,Total Students Supported with Funding,Undergraduates Supported by WRRA $,Masters Students Supported by WRRA $,PhD Students Supported by WRRA $,Postdocs Supported by WRRA $,Students Supported by Non-Federal (Matching) Funds,Sorted ID,Unsorted ID
2022,IL-2022_Sankaran,A hybrid plasma-electrocatalyst activated process for the synthesis of ammonia from air and water,Base Grant (104b),"$10,000",Water Technology and innovation,agriculture,atmospheric deposition,conservation,Dr. R. Mohan Sankaran,University of Illinois at Urbana-Champaign,4,1,0,1,0,2,1,9
2022,IL-2022_Lampert_B,Analyzing nutrient sources in the production of harmful algal blooms in Long Lake and reducing energy use for wastewater nutrient removal using machine learning,Base Grant (104b),"$20,000",Water Quality,surface water,wastewater,phosphorus,Dr. David Lampert,Illinois Institute of Technology,3,1,0,2,0,0,2,7
2021,IL_2021_Stillwell,Assessing the Feasibility of Non-Potable Water Reuse in Illinois,Base Grant (104b),"$10,000",Water Scarcity and Availability,WATER SUPPLY,"LAW, INSTITUTIONS, AND POLICY",MANAGEMENT AND PLANNING,Ashlynn Stillwell,,2,1,1,0,0,0,3,1
2023,IL_2023_Li,Assessing the Vulnerability of Public Water Systems to Droughts with an Integrated Remote Sensing and Social Sensing Approach,Base Grant (104b),"$15,000",Water Scarcity and Availability,water supply,hydrology,surface water,Ruopu Li,Southern Illinois University at Carbondale,2,0,1,0,0,1,4,22
2024,IL_2023_Li,Assessing the Vulnerability of Public Water Systems to Droughts with an Integrated Remote Sensing and Social Sensing Approach,Base Grant (104b),"$15,000",Water Scarcity and Availability,water supply,drought,hydrology,Ruopu Li,Southern Illinois University,2,0,1,0,0,1,5,35
2022,IL-2022_Corush,Causes and consequences of mollusk invasions throughout the Illinois River watershed,104g - AIS,"$300,000",Watershed and Ecosystem Function,aquatic invasive species,conservation,ecology,Dr. Joel Corush,University of Illinois at Urbana-Champaign,6,0,0,1,1,4,6,15
2023,IL-2022_Corush,Causes and consequences of mollusk invasions throughout the Illinois River watershed,104g - AIS,"$300,000",Watershed and Ecosystem Function,aquatic invasive species,ecology,conservation,Joel Corush,University of Illinois at Urbana-Champaign,10,7,0,1,1,1,7,27
2024,IL_2022_Corush,Causes and Consequences of Mollusk Invasions Throughout the Illinois River Watershed,104g - AIS,"$300,000",Watershed Function,aquatic invasive species,ecology,conservation,Joel Corush,University of Illinois Urbana-Champaign,2,0,0,1,1,0,8,43
2021,IL_2021_Lampert,Containment of Per- and Polyfluoroalkyl Substances to Protect Surface Water,Base Grant (104b),"$10,000",Water Quality,TOXIC SUBSTANCES,SOLUTE TRANSPORT,GROUNDWATER,David Lampert,,2,0,1,1,0,0,9,5
2024,IL_2024_Park,Conversion of Per- and Polyfluoroalkyl Substances (PFAS) to Valuable Chemicals via Electrochemical Destruction Process,Base Grant (104b),"$15,000",Water-Related Hazards,PFAs,surface water,methods,Jung Hyun Park,Illinois Sustainable Technology Center,2,1,1,0,0,0,10,37
2024,IL_2023_Su,Development of Next-Generation Electrochemical Systems for Short-Chain PFAS Removal and Remediation,Base Grant (104b),"$15,000",Water Technology and Innovation,PFAs,treatment,toxic substances,Xiao Su,University of Illinois Urbana-Champaign,2,0,0,1,0,1,11,34
2023,IL_2023_Su,Development of next-generation electrochemical systems for short-chain PFAS removal and remediation.,Base Grant (104b),"$15,000",Water Quality,PFAs,surface water,PFAs,Xiao Su,University of Illinois at Urbana-Champaign,2,0,0,1,0,1,12,21
2022,IL-2022_Lin_CF,Development of testing of a subsurface energy transport package for MODFLOW,Coordination Grant,"$200,000",Water Technology and innovation,models,groundwater,methods,Dr. Yu-Feng Lin,University of Illinois at Urbana-Champaign,1,0,0,1,0,0,13,16
2023,IL-2022_Lin_CF,Development of Testing of a Subsurface Energy Transport Package for MODFLOW,Coordination Grant,"$200,000",Water Technology and innovation,models,groundwater,methods,Yu-Feng Lin,University of Illinois at Urbana-Champaign,1,0,0,1,0,0,14,29
2021,IL_2021_Kim,"Efficacious, recyclable, and low-cost inorganic adsorbent to remove harmful PFAs compounds in aqueous matrics",Base Grant (104b),"$10,000",Water Technology and innovation,TOXIC SUBSTANCES,TREATMENT,WATER QUALITY,Jaemin Kim,,1,0,1,0,0,0,15,2
2022,IL-2021_Tinoco,Enemy of my enemy? Ecohydraulic assessment of interactions of multiple invasive species in the Upper Mississippi River Basin,104g - AIS,"$238,013",Watershed and Ecosystem Function,aquatic invasive species,conservation,ecology,Dr. Rafael Tinoco,University of Illinois at Urbana-Champaign,2,1,0,1,0,0,16,12
2023,IL-2021_Tinoco,Enemy of My Enemy?: Ecohydraulic Assessment of Interactions of Multiple Invasive Species in the Upper Mississippi River Basin,104g - AIS,"$238,013",Watershed and Ecosystem Function,aquatic invasive species,surface water,hydrology,Rafael Omar Tinoco Lopez,University of Illinois at Urbana-Champaign,4,0,0,4,0,0,17,24
2024,IL_2021_Tinoco,Enemy of My Enemy?: Ecohydraulic Assessment of Interactions of Multiple Invasive Species in the Upper Mississippi River Basin,104g - AIS,"$238,013",Watershed Function,aquatic invasive species,surface water,hydrology,"Tinoco Lopez, Rafael Omar",University of Illinois at Urbana-Champaign,5,1,0,4,0,0,18,41
2024,IL_2024_Li,Enhancing Field-scale Drainage Mapping Through Geospatial Artificial Intelligence,Base Grant (104b),"$15,000",Water Technology and Innovation,surface water,models,hydrology,Ruopu Li,Southern Illinois University,2,0,1,0,0,1,19,39
2022,IL-2022_Rhoads,Evaluating Sources of Fine Sediment to Headwater Streams in Intensively Managed Agricultural Landscapes of Illinois,Base Grant (104b),"$9,700",Water Quality,sediments,surface water,geochemical processes,Dr. Bruce Rhoads,University of Illinois at Urbana-Champaign,3,1,0,2,0,0,20,8
2023,IL_2023_Prada,Fast and Energy-Efficient Destruction of PFAS compounds with Piezoelectric Formulations on Aqueous Sorbents (FEED-PFAS),Base Grant (104b),"$14,998",Water Quality,PFAs,treatment,toxic substances,Andres Prada,University of Illinois at Urbana-Champaign,2,2,0,0,0,0,21,20
2024,IL_2023_Prada,Fast and Energy-Efficient Destruction of PFAS Compounds with Piezoelectric Formulations on Aqueous Sorbents (FEED-PFAS),Base Grant (104b),"$14,998",Water Quality,PFAs,methods,treatment,Andres Prada,University of Illinois Urbana-Champaign,3,3,0,0,0,0,22,33
2021,IL_2021_Rhoads,"Floodplain morphology, floodplain inundation, and riparian ecology in the context of the changing hydrology of rivers in Illinois",Base Grant (104b),"$9,500",Water-Related Hazards and Climate Variability,GEOMORPOLOGICAL PROCESSES,FLOODS,HYDROLOGY,Bruce Rhoads,,1,0,0,1,0,0,23,3
2022,IL-2022_Parkos,Habitat selection of juvenile black carp and associated predatory effects on native and non-native bivalves,104g - AIS,"$122,318",Watershed and Ecosystem Function,aquatic invasive species,hydrology,ecology,Dr. Joseph J. Parkos III,University of Illinois at Urbana-Champaign,1,0,1,0,0,0,24,13
2023,IL-2022_Parkos,Habitat selection of juvenile black carp and associated predatory effects on native and non-native bivalves,104g - AIS,"$122,318",Water Quality,aquatic invasive species,ecology,hydrology,Joseph J. Parkos III,University of Illinois at Urbana-Champaign,1,0,1,0,0,0,25,25
2024,IL_2022_Parkos,Habitat Selection of Juvenile Black Carp and Associated Predatory Effects on Native and Non-native Bivalves,104g - AIS,"$122,318",Water Quality,aquatic invasive species,ecology,models,Joseph J. Parkos III,University of Illinois at Urbana-Champaign,1,0,1,0,0,0,26,44
2023,IL_2023_Taylor,"Land use impacts on environmental quality and aquatic biodiversity in the Vermillion River drainage, Illinois",Base Grant (104b),"$15,141",Watershed and Ecosystem Function,aquatic invasive species,conservation,ecology,Caitlin Bloomer (previously Christopher Taylor),University of Illinois at Urbana-Champaign,8,0,2,1,1,4,27,19
2024,IL_2023_Taylor,"Land Use Impacts on Environmental Quality and Aquatic Biodiversity in the Vermillion River Drainage, Illinois",Base Grant (104b),"$15,141",Water Quality,aquatic invasive species,ecology,conservation,Caitlin Bloomer,University of Illinois Urbana-Champaign,2,0,1,1,0,0,28,32
2022,IL-2022_Cáceres,Measuring the effect of flood pulses on ecosystem function in lakes created by mining (Kickapoo State Recreation Area),Base Grant (104b),"$10,000",Water Quality,nonpoint pollution,ecology,surface water,Dr. Carla Cáceres,University of Illinois at Urbana-Champaign,1,0,0,1,0,0,29,10
2022,IL-2022_Lampert_G,PFAS transport from contaminated areas to surface waters,104g - PFAS,"$250,000",Water Quality,PFAs,sediments,models,Dr. David Lampert,Illinois Institute of Technology,1,0,0,1,0,0,30,14
2023,IL-2022_Lampert_G,PFAS transport from contaminated areas to surface waters,104g - PFAS,"$250,000",Water Quality,PFAs,solute transport,sediments,David Lampert,Illinois Institute of Technology,5,1,0,2,0,2,31,26
2024,IL_2022_Lampert_G,PFAS Transport from Contaminated Areas to Surface Waters,104g - PFAS,"$250,000",Water Quality,PFAs,solute transport,sediments,David Lampert,Illinois Institute of Technology,6,2,1,3,0,0,32,42
2022,IL-2022_Tartakovsky,Physics-informed machine learning for parameter estimation and surrogate modeling,Coordination Grant,"$200,000",Water Scarcity and Availability,groundwater,methods,models,Dr. Alexandre Tartakovsky,University of Illinois at Urbana-Champaign,1,0,0,1,0,0,33,17
2023,IL-2022_Tartakovsky,Physics-informed machine learning for parameter estimation and surrogate modeling,Coordination Grant,"$200,000",Water Scarcity and Availability,groundwater,methods,models,Alexandre M Tartakovsky,University of Illinois at Urbana-Champaign,2,0,0,2,0,0,34,23
2024,IL_2022_Tartakovsky,Physics-Informed Machine Learning for Parameter Estimation and Surrogate Modeling,Coordination Grant,"$200,000",Water Scarcity and Availability,groundwater,methods,models,Alex Tartakovsky,University of Illinois Urbana-Champaign,2,0,0,2,0,0,35,40
2024,IL_2024_Stillwell,Quantifying Virtual Water Transfers from Hydropower Generation under Climate Variability,Base Grant (104b),"$15,000","Water Policy, Planning, and Socioeconomics",management and planning,models,drought,Ashlynn Stillwell,University of Illinois Urbana-Champaign,2,0,0,1,0,1,36,36
2021,IL_2021_Meyer,Regenerative Agriculture and the Human Health Nexus in the age of Climate Change,Base Grant (104b),"$5,000",Water-Related Hazards and Climate Variability,AGRICULTURE,EDUCATION,METHODS,Erin Meyer,,0,0,0,0,0,0,37,6
2021,IL_2021_Wang,Triboelectric devices for water motion energy harvesting and self-powered sensing,Base Grant (104b),"$9,999",,WATER QUALITY,,,Yi-Cheng Wang,,3,0,2,1,0,0,39,4
2024,IL_2024_Sloan,Using Continuous Water Quality Monitoring Combined with Stratified Sampling to Assess the Presence of Emerging Contaminants in the Upper Illinois River,Base Grant (104b),"$15,000",Water Quality,PFAs,surface water,wetlands,John J Sloan,National Great Rivers Research & Education Center,0,0,0,0,0,0,40,38
2022,2020IL103AIS,Water quality as a deterrent to the movement of invasive fishes in the Illinois Waterway: Implications for the Upper Mississippi Basin,104g - AIS,"$240,624",Watershed and Ecosystem Function,aquatic invasive species,,,Dr. Cory Suski,University of Illinois at Urbana-Champaign,4,2,1,0,1,0,41,11
2023,2020IL103AIS,Water Quality as a Deterrent to the Movement of Invasive Fishes in the Illinois Waterway: Implications for the Upper Mississippi Basin,104g - AIS,"$240,624",Watershed and Ecosystem Function,aquatic invasive species,wastewater,ecology,Cory Suski,University of Illinois at Urbana-Champaign,4,2,1,0,0,1,42,28
2024,2020IL103AIS,Water Quality as a Deterrent to the Movement of Invasive Fishes in the Illinois Waterway: Implications for the Upper Mississippi Basin,104g - AIS,"$240,624",Watershed Function,aquatic invasive species,wastewater,ecology,Cory Suski,University of Illinois Urbana-Champaign,4,2,1,0,0,1,43,45
